RawBandName,NodeId,BandName,FileName
10cc,1,10cc,./Bands/10cc.txt
10 Years (band)|10 Years,2,10_Years_(band),./Bands/10_Years_(band).txt
3 Doors Down,3,3_Doors_Down,./Bands/3_Doors_Down.txt
311 (band)|311,4,311_(band),./Bands/311_(band).txt
38 Special (band)|.38 Special,5,38_Special_(band),./Bands/38_Special_(band).txt
ABBA,6,ABBA,./Bands/ABBA.txt
Accept (band)|Accept,7,Accept_(band),./Bands/Accept_(band).txt
AC/DC,8,AC/DC,./Bands/AC.DC.txt
Bryan Adams,9,Bryan_Adams,./Bands/Bryan_Adams.txt
Aerosmith,10,Aerosmith,./Bands/Aerosmith.txt
AFI (band)|AFI,11,AFI_(band),./Bands/AFI_(band).txt
Air Supply,12,Air_Supply,./Bands/Air_Supply.txt
The Alan Parsons Project,13,The_Alan_Parsons_Project,./Bands/The_Alan_Parsons_Project.txt
Alice in Chains,14,Alice_in_Chains,./Bands/Alice_in_Chains.txt
The All-American Rejects,15,The_All-American_Rejects,./Bands/The_All-American_Rejects.txt
The Allman Brothers Band,16,The_Allman_Brothers_Band,./Bands/The_Allman_Brothers_Band.txt
Alter Bridge,17,Alter_Bridge,./Bands/Alter_Bridge.txt
Ambrosia (band)|Ambrosia,18,Ambrosia_(band),./Bands/Ambrosia_(band).txt
America (band)|America,19,America_(band),./Bands/America_(band).txt
The Animals,20,The_Animals,./Bands/The_Animals.txt
Adam Ant,21,Adam_Ant,./Bands/Adam_Ant.txt
Anthrax (American band)|Anthrax,22,Anthrax_(American_band),./Bands/Anthrax_(American_band).txt
April Wine,23,April_Wine,./Bands/April_Wine.txt
Arcade Fire,24,Arcade_Fire,./Bands/Arcade_Fire.txt
Arctic Monkeys,25,Arctic_Monkeys,./Bands/Arctic_Monkeys.txt
Asia (band)|Asia,26,Asia_(band),./Bands/Asia_(band).txt
Audioslave,27,Audioslave,./Bands/Audioslave.txt
Avenged Sevenfold,28,Avenged_Sevenfold,./Bands/Avenged_Sevenfold.txt
Awolnation,29,Awolnation,./Bands/Awolnation.txt
The B-52's|The B-52s,30,The_B-52's,./Bands/The_B-52's.txt
Bachman\u2013Turner Overdrive,31,Bachman–Turner_Overdrive,./Bands/Bachman–Turner_Overdrive.txt
Bad Company,32,Bad_Company,./Bands/Bad_Company.txt
Badfinger,33,Badfinger,./Bands/Badfinger.txt
The Band,34,The_Band,./Bands/The_Band.txt
The Bangles,35,The_Bangles,./Bands/The_Bangles.txt
Barenaked Ladies,36,Barenaked_Ladies,./Bands/Barenaked_Ladies.txt
Bay City Rollers,37,Bay_City_Rollers,./Bands/Bay_City_Rollers.txt
The Beach Boys,38,The_Beach_Boys,./Bands/The_Beach_Boys.txt
Beastie Boys,39,Beastie_Boys,./Bands/Beastie_Boys.txt
The Beatles,40,The_Beatles,./Bands/The_Beatles.txt
Bee Gees,41,Bee_Gees,./Bands/Bee_Gees.txt
Beck,42,Beck,./Bands/Beck.txt
Ben Folds Five,43,Ben_Folds_Five,./Bands/Ben_Folds_Five.txt
Pat Benatar,44,Pat_Benatar,./Bands/Pat_Benatar.txt
Chuck Berry,45,Chuck_Berry,./Bands/Chuck_Berry.txt
The Big Bopper,46,The_Big_Bopper,./Bands/The_Big_Bopper.txt
Billy Talent,47,Billy_Talent,./Bands/Billy_Talent.txt
The Black Crowes,48,The_Black_Crowes,./Bands/The_Black_Crowes.txt
The Black Keys,49,The_Black_Keys,./Bands/The_Black_Keys.txt
Black Sabbath,50,Black_Sabbath,./Bands/Black_Sabbath.txt
Black Stone Cherry,51,Black_Stone_Cherry,./Bands/Black_Stone_Cherry.txt
Black Veil Brides,52,Black_Veil_Brides,./Bands/Black_Veil_Brides.txt
Blink-182,53,Blink-182,./Bands/Blink-182.txt
Blondie (band),54,Blondie_(band),./Bands/Blondie_(band).txt
Bloodhound Gang,55,Bloodhound_Gang,./Bands/Bloodhound_Gang.txt
Blue October,56,Blue_October,./Bands/Blue_October.txt
Blue \u00d6yster Cult,57,Blue_Öyster_Cult,./Bands/Blue_Öyster_Cult.txt
Blues Traveler,58,Blues_Traveler,./Bands/Blues_Traveler.txt
James Blunt,59,James_Blunt,./Bands/James_Blunt.txt
Blur (band)|Blur,60,Blur_(band),./Bands/Blur_(band).txt
Bon Jovi,61,Bon_Jovi,./Bands/Bon_Jovi.txt
Boston (band)|Boston,62,Boston_(band),./Bands/Boston_(band).txt
David Bowie,63,David_Bowie,./Bands/David_Bowie.txt
Bowling for Soup,64,Bowling_for_Soup,./Bands/Bowling_for_Soup.txt
The Boxtones,65,The_Boxtones,./Bands/The_Boxtones.txt
Boys Like Girls,66,Boys_Like_Girls,./Bands/Boys_Like_Girls.txt
Bread (band)|Bread,67,Bread_(band),./Bands/Bread_(band).txt
Breaking Benjamin,68,Breaking_Benjamin,./Bands/Breaking_Benjamin.txt
Bring Me the Horizon,69,Bring_Me_the_Horizon,./Bands/Bring_Me_the_Horizon.txt
Jackson Browne,70,Jackson_Browne,./Bands/Jackson_Browne.txt
Buckcherry,71,Buckcherry,./Bands/Buckcherry.txt
Jeff Buckley,72,Jeff_Buckley,./Bands/Jeff_Buckley.txt
Bullet for My Valentine,73,Bullet_for_My_Valentine,./Bands/Bullet_for_My_Valentine.txt
Chris de Burgh,74,Chris_de_Burgh,./Bands/Chris_de_Burgh.txt
Bush (British band)|Bush,75,Bush_(British_band),./Bands/Bush_(British_band).txt
The Byrds,76,The_Byrds,./Bands/The_Byrds.txt
Cage the Elephant,77,Cage_the_Elephant,./Bands/Cage_the_Elephant.txt
Cake (band)|Cake,78,Cake_(band),./Bands/Cake_(band).txt
Canned Heat,79,Canned_Heat,./Bands/Canned_Heat.txt
The Cab,80,The_Cab,./Bands/The_Cab.txt
The Cardigans,81,The_Cardigans,./Bands/The_Cardigans.txt
The Cars,82,The_Cars,./Bands/The_Cars.txt
Catfish and the Bottlemen,83,Catfish_and_the_Bottlemen,./Bands/Catfish_and_the_Bottlemen.txt
Harry Chapin,84,Harry_Chapin,./Bands/Harry_Chapin.txt
Tracy Chapman,85,Tracy_Chapman,./Bands/Tracy_Chapman.txt
Cheap Trick,86,Cheap_Trick,./Bands/Cheap_Trick.txt
Chevelle (band)|Chevelle,87,Chevelle_(band),./Bands/Chevelle_(band).txt
Chicago (band)|Chicago,88,Chicago_(band),./Bands/Chicago_(band).txt
Chubby Checker,89,Chubby_Checker,./Bands/Chubby_Checker.txt
Cinderella (band)|Cinderella,90,Cinderella_(band),./Bands/Cinderella_(band).txt
Dallas Green (musician)|City and Colour,91,Dallas_Green_(musician),./Bands/Dallas_Green_(musician).txt
Eric Clapton,92,Eric_Clapton,./Bands/Eric_Clapton.txt
The Clash,93,The_Clash,./Bands/The_Clash.txt
Eddie Cochran,94,Eddie_Cochran,./Bands/Eddie_Cochran.txt
Joe Cocker,95,Joe_Cocker,./Bands/Joe_Cocker.txt
Coheed and Cambria,96,Coheed_and_Cambria,./Bands/Coheed_and_Cambria.txt
Cold Chisel,97,Cold_Chisel,./Bands/Cold_Chisel.txt
Coldplay,98,Coldplay,./Bands/Coldplay.txt
Collective Soul,99,Collective_Soul,./Bands/Collective_Soul.txt
Phil Collins,100,Phil_Collins,./Bands/Phil_Collins.txt
Alice Cooper,101,Alice_Cooper,./Bands/Alice_Cooper.txt
Alice Cooper (band),102,Alice_Cooper_(band),./Bands/Alice_Cooper_(band).txt
Chris Cornell,103,Chris_Cornell,./Bands/Chris_Cornell.txt
Elvis Costello,104,Elvis_Costello,./Bands/Elvis_Costello.txt
Counting Crows,105,Counting_Crows,./Bands/Counting_Crows.txt
The Cranberries,106,The_Cranberries,./Bands/The_Cranberries.txt
Crash Test Dummies,107,Crash_Test_Dummies,./Bands/Crash_Test_Dummies.txt
Cream (band)|Cream,108,Cream_(band),./Bands/Cream_(band).txt
Creed (band)|Creed,109,Creed_(band),./Bands/Creed_(band).txt
Creedence Clearwater Revival,110,Creedence_Clearwater_Revival,./Bands/Creedence_Clearwater_Revival.txt
Jim Croce,111,Jim_Croce,./Bands/Jim_Croce.txt
"Crosby, Stills, Nash & Young",112,"Crosby,_Stills,_Nash_&_Young","./Bands/Crosby,_Stills,_Nash_&_Young.txt"
Christopher Cross,113,Christopher_Cross,./Bands/Christopher_Cross.txt
Sheryl Crow,114,Sheryl_Crow,./Bands/Sheryl_Crow.txt
Crowded House,115,Crowded_House,./Bands/Crowded_House.txt
The Cult,116,The_Cult,./Bands/The_Cult.txt
The Cure,117,The_Cure,./Bands/The_Cure.txt
Damn Yankees (band)|Damn Yankees,118,Damn_Yankees_(band),./Bands/Damn_Yankees_(band).txt
Charlie Daniels,119,Charlie_Daniels,./Bands/Charlie_Daniels.txt
Dashboard Confessional,120,Dashboard_Confessional,./Bands/Dashboard_Confessional.txt
Daughtry (band)|Daughtry,121,Daughtry_(band),./Bands/Daughtry_(band).txt
The Dave Clark Five,122,The_Dave_Clark_Five,./Bands/The_Dave_Clark_Five.txt
Dave Matthews Band,123,Dave_Matthews_Band,./Bands/Dave_Matthews_Band.txt
Days of the New,124,Days_of_the_New,./Bands/Days_of_the_New.txt
Death Cab for Cutie,125,Death_Cab_for_Cutie,./Bands/Death_Cab_for_Cutie.txt
Deep Purple,126,Deep_Purple,./Bands/Deep_Purple.txt
Def Leppard,127,Def_Leppard,./Bands/Def_Leppard.txt
Deftones,128,Deftones,./Bands/Deftones.txt
Depeche Mode,129,Depeche_Mode,./Bands/Depeche_Mode.txt
Bo Diddley,130,Bo_Diddley,./Bands/Bo_Diddley.txt
Dio (band)|Dio,131,Dio_(band),./Bands/Dio_(band).txt
Dire Straits,132,Dire_Straits,./Bands/Dire_Straits.txt
Disturbed (band)|Disturbed,133,Disturbed_(band),./Bands/Disturbed_(band).txt
Fats Domino,134,Fats_Domino,./Bands/Fats_Domino.txt
Donovan,135,Donovan,./Bands/Donovan.txt
The Doobie Brothers,136,The_Doobie_Brothers,./Bands/The_Doobie_Brothers.txt
The Doors,137,The_Doors,./Bands/The_Doors.txt
Dr. Hook & the Medicine Show,138,Dr._Hook_&_the_Medicine_Show,./Bands/Dr._Hook_&_the_Medicine_Show.txt
Dropkick Murphys,139,Dropkick_Murphys,./Bands/Dropkick_Murphys.txt
Drowning Pool,140,Drowning_Pool,./Bands/Drowning_Pool.txt
Duran Duran,141,Duran_Duran,./Bands/Duran_Duran.txt
Ian Dury|Ian Dury & the Blockheads,142,Ian_Dury,./Bands/Ian_Dury.txt
Bob Dylan,143,Bob_Dylan,./Bands/Bob_Dylan.txt
Eagles (band)|Eagles,144,Eagles_(band),./Bands/Eagles_(band).txt
Echo & the Bunnymen,145,Echo_&_the_Bunnymen,./Bands/Echo_&_the_Bunnymen.txt
Duane Eddy,146,Duane_Eddy,./Bands/Duane_Eddy.txt
Edgar Winter|The Edgar Winter Group,147,Edgar_Winter,./Bands/Edgar_Winter.txt
Electric Light Orchestra,148,Electric_Light_Orchestra,./Bands/Electric_Light_Orchestra.txt
"Emerson, Lake & Palmer",149,"Emerson,_Lake_&_Palmer","./Bands/Emerson,_Lake_&_Palmer.txt"
England Dan & John Ford Coley,150,England_Dan_&_John_Ford_Coley,./Bands/England_Dan_&_John_Ford_Coley.txt
Melissa Etheridge,151,Melissa_Etheridge,./Bands/Melissa_Etheridge.txt
Europe (band)|Europe,152,Europe_(band),./Bands/Europe_(band).txt
Evanescence,153,Evanescence,./Bands/Evanescence.txt
Everclear (band)|Everclear,154,Everclear_(band),./Bands/Everclear_(band).txt
Everlast,155,Everlast,./Bands/Everlast.txt
The Everly Brothers,156,The_Everly_Brothers,./Bands/The_Everly_Brothers.txt
Extreme (band)|Extreme,157,Extreme_(band),./Bands/Extreme_(band).txt
Faces (band)|Faces,158,Faces_(band),./Bands/Faces_(band).txt
Faith No More,159,Faith_No_More,./Bands/Faith_No_More.txt
Fall Out Boy,160,Fall_Out_Boy,./Bands/Fall_Out_Boy.txt
Bryan Ferry,161,Bryan_Ferry,./Bands/Bryan_Ferry.txt
Filter (band)|Filter,162,Filter_(band),./Bands/Filter_(band).txt
Finger Eleven,163,Finger_Eleven,./Bands/Finger_Eleven.txt
FireHouse,164,FireHouse,./Bands/FireHouse.txt
Five Finger Death Punch,165,Five_Finger_Death_Punch,./Bands/Five_Finger_Death_Punch.txt
Five for Fighting,166,Five_for_Fighting,./Bands/Five_for_Fighting.txt
The Fixx,167,The_Fixx,./Bands/The_Fixx.txt
The Flaming Lips,168,The_Flaming_Lips,./Bands/The_Flaming_Lips.txt
Fleetwood Mac,169,Fleetwood_Mac,./Bands/Fleetwood_Mac.txt
Flogging Molly,170,Flogging_Molly,./Bands/Flogging_Molly.txt
Florence and the Machine|Florence + the Machine,171,Florence_and_the_Machine,./Bands/Florence_and_the_Machine.txt
Flyleaf (band)|Flyleaf,172,Flyleaf_(band),./Bands/Flyleaf_(band).txt
Foals (band)|Foals,173,Foals_(band),./Bands/Foals_(band).txt
Dan Fogelberg,174,Dan_Fogelberg,./Bands/Dan_Fogelberg.txt
John Fogerty,175,John_Fogerty,./Bands/John_Fogerty.txt
Foo Fighters,176,Foo_Fighters,./Bands/Foo_Fighters.txt
Foreigner (band)|Foreigner,177,Foreigner_(band),./Bands/Foreigner_(band).txt
Foster the People,178,Foster_the_People,./Bands/Foster_the_People.txt
The Four Seasons (band)|The Four Seasons,179,The_Four_Seasons_(band),./Bands/The_Four_Seasons_(band).txt
Peter Frampton,180,Peter_Frampton,./Bands/Peter_Frampton.txt
Franz Ferdinand (band)|Franz Ferdinand,181,Franz_Ferdinand_(band),./Bands/Franz_Ferdinand_(band).txt
The Fray,182,The_Fray,./Bands/The_Fray.txt
Glenn Frey,183,Glenn_Frey,./Bands/Glenn_Frey.txt
Fuel (band)|Fuel,184,Fuel_(band),./Bands/Fuel_(band).txt
Fun (band)|Fun.,185,Fun_(band),./Bands/Fun_(band).txt
Funkadelic,186,Funkadelic,./Bands/Funkadelic.txt
Peter Gabriel,187,Peter_Gabriel,./Bands/Peter_Gabriel.txt
Garbage (band)|Garbage,188,Garbage_(band),./Bands/Garbage_(band).txt
Genesis (band)|Genesis,189,Genesis_(band),./Bands/Genesis_(band).txt
Ghost (Swedish band)|Ghost,190,Ghost_(Swedish_band),./Bands/Ghost_(Swedish_band).txt
Gin Blossoms,191,Gin_Blossoms,./Bands/Gin_Blossoms.txt
Gary Glitter,192,Gary_Glitter,./Bands/Gary_Glitter.txt
The Go-Go's,193,The_Go-Go's,./Bands/The_Go-Go's.txt
Godsmack,194,Godsmack,./Bands/Godsmack.txt
Golden Earring,195,Golden_Earring,./Bands/Golden_Earring.txt
Goo Goo Dolls,196,Goo_Goo_Dolls,./Bands/Goo_Goo_Dolls.txt
Good Charlotte,197,Good_Charlotte,./Bands/Good_Charlotte.txt
Grand Funk Railroad,198,Grand_Funk_Railroad,./Bands/Grand_Funk_Railroad.txt
Grateful Dead,199,Grateful_Dead,./Bands/Grateful_Dead.txt
Great White,200,Great_White,./Bands/Great_White.txt
Green Day,201,Green_Day,./Bands/Green_Day.txt
Greta Van Fleet,202,Greta_Van_Fleet,./Bands/Greta_Van_Fleet.txt
The Guess Who,203,The_Guess_Who,./Bands/The_Guess_Who.txt
Guns N' Roses,204,Guns_N'_Roses,./Bands/Guns_N'_Roses.txt
Halestorm,205,Halestorm,./Bands/Halestorm.txt
Bill Haley & His Comets,206,Bill_Haley_&_His_Comets,./Bands/Bill_Haley_&_His_Comets.txt
Hall & Oates,207,Hall_&_Oates,./Bands/Hall_&_Oates.txt
George Harrison,208,George_Harrison,./Bands/George_Harrison.txt
Heart (band)|Heart,209,Heart_(band),./Bands/Heart_(band).txt
Jimi Hendrix,210,Jimi_Hendrix,./Bands/Jimi_Hendrix.txt
Don Henley,211,Don_Henley,./Bands/Don_Henley.txt
Herman's Hermits,212,Herman's_Hermits,./Bands/Herman's_Hermits.txt
Highly Suspect,213,Highly_Suspect,./Bands/Highly_Suspect.txt
Hinder,214,Hinder,./Bands/Hinder.txt
The Hives,215,The_Hives,./Bands/The_Hives.txt
Hole (band)|Hole,216,Hole_(band),./Bands/Hole_(band).txt
The Hollies,217,The_Hollies,./Bands/The_Hollies.txt
Buddy Holly,218,Buddy_Holly,./Bands/Buddy_Holly.txt
Hoobastank,219,Hoobastank,./Bands/Hoobastank.txt
Hootie & the Blowfish,220,Hootie_&_the_Blowfish,./Bands/Hootie_&_the_Blowfish.txt
Icehouse (band)|Icehouse,221,Icehouse_(band),./Bands/Icehouse_(band).txt
Billy Idol,222,Billy_Idol,./Bands/Billy_Idol.txt
Imagine Dragons,223,Imagine_Dragons,./Bands/Imagine_Dragons.txt
Incubus (band)|Incubus,224,Incubus_(band),./Bands/Incubus_(band).txt
Interpol (band)|Interpol,225,Interpol_(band),./Bands/Interpol_(band).txt
INXS,226,INXS,./Bands/INXS.txt
Iron Maiden,227,Iron_Maiden,./Bands/Iron_Maiden.txt
The J. Geils Band,228,The_J._Geils_Band,./Bands/The_J._Geils_Band.txt
The Jam,229,The_Jam,./Bands/The_Jam.txt
Tommy James and the Shondells,230,Tommy_James_and_the_Shondells,./Bands/Tommy_James_and_the_Shondells.txt
Jane's Addiction,231,Jane's_Addiction,./Bands/Jane's_Addiction.txt
Jefferson Airplane,232,Jefferson_Airplane,./Bands/Jefferson_Airplane.txt
Jefferson Starship,233,Jefferson_Starship,./Bands/Jefferson_Starship.txt
The Jesus and Mary Chain,234,The_Jesus_and_Mary_Chain,./Bands/The_Jesus_and_Mary_Chain.txt
Jet (Australian band)|Jet,235,Jet_(Australian_band),./Bands/Jet_(Australian_band).txt
Jethro Tull (band)|Jethro Tull,236,Jethro_Tull_(band),./Bands/Jethro_Tull_(band).txt
Joan Jett|Joan Jett & the Blackhearts,237,Joan_Jett,./Bands/Joan_Jett.txt
Jimmy Eat World,238,Jimmy_Eat_World,./Bands/Jimmy_Eat_World.txt
Billy Joel,239,Billy_Joel,./Bands/Billy_Joel.txt
Elton John,240,Elton_John,./Bands/Elton_John.txt
Janis Joplin,241,Janis_Joplin,./Bands/Janis_Joplin.txt
Journey (band)|Journey,242,Journey_(band),./Bands/Journey_(band).txt
Joy Division,243,Joy_Division,./Bands/Joy_Division.txt
